benchmark,alg,best_total_cost,avg_time_sec,solution,optimal_value,diff,percent_diff
A-n69-k9.vrp,AntColonyAlgorithm,1446.4952527,3.2776249,"[1, 29, 35, 15, 43, 58, 12, 64, 38, 17, 2, 11, 1] [1, 20, 25, 44, 53, 27, 55, 6, 47, 1] [1, 8, 28, 66, 56, 61, 5, 48, 26, 30, 3, 1] [1, 32, 19, 54, 10, 31, 7, 52, 4, 16, 45, 1] [1, 41, 39, 9, 60, 21, 46, 36, 14, 42, 59, 1] [1, 22, 68, 65, 62, 34, 50, 69, 1] [1, 23, 13, 67, 24, 1] [1, 18, 33, 37, 49, 51, 1] [1, 57, 40, 63, 1]",1159,287.49525269795686,24.8054575
A-n80-k10.vrp,AntColonyAlgorithm,2118.588329,3.7917276,"[1, 50, 74, 37, 54, 52, 78, 4, 75, 32, 34, 1] [1, 41, 22, 8, 2, 11, 72, 15, 1] [1, 14, 43, 67, 68, 71, 39, 59, 51, 73, 55, 1] [1, 77, 33, 46, 23, 5, 10, 1] [1, 61, 40, 18, 30, 6, 13, 45, 79, 1] [1, 3, 38, 9, 69, 17, 44, 62, 21, 1] [1, 65, 16, 56, 57, 70, 66, 36, 27, 58, 76, 60, 28, 1] [1, 47, 42, 26, 48, 20, 31, 7, 25, 35, 53, 1] [1, 29, 80, 49, 19, 12, 1] [1, 64, 63, 24, 1]",1763,355.5883290453103,20.1695025
B-n31-k5.vrp,AntColonyAlgorithm,724.529378,1.532357,"[1, 21, 11, 28, 3, 16, 12, 25, 15, 20, 22, 1] [1, 5, 30, 23, 31, 8, 9, 1] [1, 27, 29, 13, 24, 14, 18, 1] [1, 2, 4, 7, 10, 26, 6, 1] [1, 17, 19, 1]",672,52.52937799303538,7.8168717
B-n34-k5.vrp,AntColonyAlgorithm,844.5485271,1.6733468,"[1, 6, 26, 7, 18, 32, 16, 29, 14, 20, 1] [1, 12, 31, 34, 33, 23, 1] [1, 2, 19, 15, 17, 25, 30, 28, 4, 13, 24, 11, 21, 1] [1, 3, 8, 22, 5, 9, 27, 1] [1, 10, 1]",788,56.54852706972963,7.176209
B-n35-k5.vrp,AntColonyAlgorithm,1082.4713221,1.7090744,"[1, 30, 18, 13, 10, 24, 2, 17, 1] [1, 34, 4, 15, 25, 28, 35, 23, 3, 1] [1, 8, 21, 11, 33, 14, 20, 12, 31, 16, 1] [1, 26, 32, 9, 22, 19, 27, 7, 1] [1, 6, 29, 5, 1]",955,127.47132209317601,13.3477824
B-n38-k6.vrp,AntColonyAlgorithm,863.6855584,1.8617484,"[1, 27, 17, 23, 12, 33, 29, 22, 1] [1, 7, 20, 10, 32, 14, 3, 38, 36, 1] [1, 37, 18, 35, 13, 30, 25, 9, 6, 28, 1] [1, 15, 16, 21, 11, 2, 1] [1, 4, 31, 24, 34, 19, 5, 1] [1, 8, 26, 1]",805,58.685558355956346,7.2901315
B-n39-k5.vrp,AntColonyAlgorithm,726.7055933,1.8642922,"[1, 4, 32, 37, 29, 5, 36, 18, 39, 6, 1] [1, 24, 25, 22, 34, 3, 23, 17, 31, 38, 27, 33, 13, 1] [1, 30, 9, 15, 11, 14, 19, 7, 21, 10, 1] [1, 28, 2, 26, 12, 16, 8, 1] [1, 35, 20, 1]",549,177.7055932677722,32.3689605
B-n41-k6.vrp,AntColonyAlgorithm,876.4626799,1.9856513,"[1, 25, 36, 3, 38, 10, 22, 19, 4, 1] [1, 26, 27, 20, 28, 39, 40, 1] [1, 5, 6, 16, 32, 23, 8, 31, 14, 1] [1, 34, 12, 35, 7, 29, 18, 15, 2, 1] [1, 30, 33, 13, 24, 11, 41, 1] [1, 17, 21, 37, 9, 1]",829,47.46267991265563,5.7252931
B-n43-k6.vrp,AntColonyAlgorithm,823.2160273,2.042878,"[1, 5, 36, 42, 28, 26, 33, 30, 41, 6, 22, 1] [1, 34, 21, 19, 20, 15, 29, 38, 13, 32, 1] [1, 27, 43, 35, 40, 18, 8, 17, 16, 39, 1] [1, 10, 7, 25, 23, 4, 31, 1] [1, 2, 24, 9, 3, 37, 11, 1] [1, 14, 12, 1]",742,81.21602734512112,10.9455562
B-n44-k7.vrp,AntColonyAlgorithm,1064.3470633,2.0925898,"[1, 8, 17, 19, 30, 33, 20, 22, 42, 1] [1, 7, 14, 38, 35, 9, 43, 31, 12, 1] [1, 18, 6, 41, 13, 29, 26, 4, 36, 1] [1, 24, 11, 10, 1] [1, 2, 16, 34, 32, 28, 21, 1] [1, 37, 3, 15, 27, 25, 40, 44, 1] [1, 5, 23, 39, 1]",909,155.3470633231707,17.089886
